"Frame","TickMs","FlowUpperBoundMs","GCCollectionsBetweenScopeRecords"
"542","2.8248","0.6893","0"
"543","2.2965","0.4417","0"
"544","2.2965","0.4824","0"
"545","2.1827","0.5172","0"
"546","2.111","0.4742","0"
"547","2.6027","0.4921","0"
"548","3.3037","0.6552","0"
"549","2.6318","0.4805","0"
"550","2.1541","0.4453","0"
"551","2.5589","0.5682","0"
"552","2.1935","0.5401","0"
"553","2.3446","0.486","0"
"554","2.3645","0.6344","0"
"555","3.1013","0.4609","0"
"556","2.6808","0.4915","0"
"557","2.4793","0.5984","0"
"558","2.2866","0.5926","0"
"559","2.2815","0.4362","0"
"560","2.4292","0.7037","0"
"561","2.414","0.465","0"
"562","3.0719","0.5076","0"
"563","3.1088","0.5563","0"
"564","2.2645","0.5258","0"
"565","2.3798","0.5276","0"
"566","2.2832","0.6026","0"
"567","2.5648","0.4783","0"
"568","2.4053","0.5259","0"
"569","3.7002","0.5818","0"
"570","2.5705","0.5271","0"
"571","2.3684","0.4445","0"
"572","2.4555","0.7209","0"
"573","2.1338","0.4713","0"
"574","2.3242","0.4698","0"
"575","2.5664","0.6354","0"
"576","2.9677","0.5263","0"
"577","2.4586","0.4392","0"
"578","2.3592","0.6258","0"
"579","2.2846","0.4584","0"
"580","2.1503","0.4234","0"
"581","2.3063","0.6421","0"
"582","2.4861","0.5675","0"
"583","3.1399","0.4487","0"
"584","2.7364","0.6701","0"
"585","2.2714","0.5128","0"
"586","2.2206","0.4917","0"
"587","2.4889","0.5534","0"
"588","2.2229","0.5469","0"
"589","2.2882","0.4809","0"
"590","3.4509","0.6898","0"
"591","2.7659","0.4572","0"
"592","2.8746","0.9433","0"
"593","2.2997","0.5519","0"
"594","2.1474","0.4822","0"
"595","2.4223","0.4731","0"
"596","2.3539","0.6256","0"
"597","2.9377","0.4392","0"
"598","2.6202","0.4291","0"
"599","2.4712","0.54","0"
"600","2.3778","0.5285","0"
"601","2.3288","0.4507","0"
"602","2.3577","0.6578","0"
"603","2.3438","0.4672","0"
"604","3.365","0.484","0"
"605","2.5647","0.5516","0"
"606","2.1665","0.4861","0"
"607","2.4118","0.4778","0"
"608","2.2919","0.6159","0"
"609","2.1863","0.5008","0"
"610","2.3684","0.4895","0"
"611","3.1569","0.5363","0"
"612","2.4263","0.4858","0"
"613","2.3301","0.5358","0"
"614","2.3385","0.6395","0"
"615","2.434","0.4682","0"
"616","2.1271","0.4248","0"
"617","2.4103","0.5569","0"
"618","2.9364","0.4779","0"
"619","2.7118","0.4561","0"
"620","2.3156","0.614","0"
"621","2.3413","0.4655","0"
"622","2.1312","0.4108","0"
"623","2.5493","0.5911","0"
"624","2.2671","0.5131","0"
"625","3.0429","0.4521","0"
"626","2.6816","0.613","0"
"627","2.4612","0.4663","0"
"628","2.3344","0.4854","0"
"629","2.4636","0.536","0"
"630","2.1532","0.5021","0"
"631","2.3111","0.4366","0"
"632","3.2592","0.6497","0"
"633","2.4495","0.4638","0"
"634","2.2029","0.4465","0"
"635","2.5292","0.5493","0"
"636","2.2557","0.5076","0"
"637","2.1975","0.4825","0"
"638","2.3356","0.6163","0"
"639","3.3323","0.487","0"
"640","2.6092","0.4988","0"
"641","2.2474","0.5252","0"
"642","2.2406","0.5416","0"
"643","2.3371","0.441","0"
"644","2.55","0.7113","0"
"645","2.2122","0.439","0"
"646","2.8569","0.4124","0"
"647","2.9759","0.5407","0"
"648","2.1372","0.4798","0"
"649","2.3012","0.5316","0"
"650","2.3199","0.6268","0"
"651","2.3489","0.5192","0"
"652","2.1156","0.4262","0"
"653","3.137","0.5852","0"
"654","2.5847","0.5012","0"
"655","2.3497","0.4977","0"
"656","2.7361","0.6416","0"
"657","2.0925","0.446","0"
"658","2.0682","0.4168","0"
"659","2.4128","0.5557","0"
"660","2.9905","0.4958","0"
"661","2.6057","0.4296","0"
"662","2.3489","0.6798","0"
"663","2.2148","0.4183","0"
"664","2.9399","1.0257","0"
"665","2.1378","0.5221","0"
"666","2.1189","0.4677","0"
"667","3.0935","0.4407","0"
"668","2.8117","0.6521","0"
"669","2.03","0.4178","0"
"670","2.262","0.4926","0"
"671","2.3515","0.5323","0"
"672","2.275","0.5016","0"
"673","2.3855","0.4774","0"
"674","3.3499","0.647","0"
"675","2.7319","0.4583","0"
"676","2.4813","0.5199","0"
"677","2.2509","0.6028","0"
"678","2.2442","0.5535","0"
"679","2.3205","0.4586","0"
